id,name,name_en,type,description,requirements,time_to_create,cost,duration,items
100,Контроль рептилий,Reptile Control,Обычное Сопротивление по IQ,"Позволяет заклинателю контролировать действия одной крупной (любого размера) рептилии, или группы небольших рептилий общим весом не более 100 фунтов. Требует концентрации. Не будет работать против интеллектуальных созданий (IQ>=8)",Любимец животных (Beast-Soother),2 на поддержание,4 на сотворение,-,1 минута
101,Контроль птиц,Bird Control,Обычное Сопротивление по IQ,"Позволяет заклинателю контролировать действия одной крупной (любого размера) птицы, или стаи небольших птиц общим весом не более 100 фунтов. Требует концентрации. Не будет работать против интеллектуальных созданий (IQ>=8)",Любимец животных (Beast-Soother),2 на поддержание,4 на сотворение,-,1 минута
102,Вселение в зверя,Beast Possession,"Обычное, Сопротивление по Воле(Will)","Подобно заклинанию Внутренний наездник, за исключением того, что заклинатель получает полный контроль над объектом заклинания «изнутри» и имеет полный доступ к памяти и способностям животного. Находясь «внутри» тела объекта заклинатель может использовать все умения и способности, как будто они его собственные. Он может использовать свои ментальные способности но не физические (что означает что он не может творить заклинания пока не выучит их до той степени, чтобы не нуждаться в жестах либо словах). Собственное тело заклинателя лежит без сознания и должно охраняться.",Внутренний наездник,5 секунд,"6 сотворение, 2 поддержание",1 минута,"Так же как и для Внутреннего наездника, но дороже. Энергостоимость создания: 1500 (за пару). Каждый амулет должен содержать опал стоимостью не менее $200"
103,Контроль млекопитающих,Mammal Control,Обычное Сопротивление по IQ,Позволяет заклинателю контролировать действия одного крупного (любого размера) млекопитающего или группы общим весом не более 100 фунтов. Требует концентрации. Не будет работать против интеллектуальных созданий (IQ>=8),Любимец животных (Beast-Soother),3 на поддержание,5 на сотворение,-,1 минута
107,Храбрость,Bravery,Областное; Защита по IQ-1,"Делает объект(ы) бесстрашным. Любой находящийся по действием данного заклинания, при заявлении осторожного действия, должен выбросить бросок по IQ чтобы избежать храбрых поступков.",Страх,-,2 Не поддерживается,1 час если не остановлено раньше с помощью «страха» (Fear).,(a) Любой предмет. Всегда «включен»
110,Мир духов,Spirits World,Информационное,"Позволяет заклинателю видеть души, блуждающие по миру.",Почуять духов,-,3,-,-
115,Сопротивление боли,Resist Pain,Обычное,"Субъект становится временно невосприимчив к боли. Он может игнорировать действие заклинания Спазм и других заклинаний, вызывающих боль. Он не может быть оглушен в бою, не получает штрафа за болевой шок при ранении и не теряет скорость при снижении ЕЖ(HP) ниже 1/3. Не дает защиты собственно от ран – только от боли.",Храбрость,-,4 создание. 2 поддержание,1 минута,-
116,Видение смерти,Death Vision,Обычное,"Объект испытывает реалистичное видение своей смерти. Это может оказаться видением из будущего, либо ложным образом из другого возможного будущего – но это всегда ужасает. Объект ментально оглушен до успешного броска ИН(IQ). Это заклинание может принести ему и пользу – указав на возможную смертельную опасность.",-,3 секунды,2,1 секунда,Посох или палочка. Используется только магами. Требуется коснуться объекта. Энергостоимость: 600
118,Отменить вселение,Dispel Possession,Обычное; Сопротивляется заклинанием,"Заканчивает любое из действующих на объект заклинаний Ментальный пассажир, Контроль или Вселение (или их эквиваленты для животных).",10,Внутренний наездник,10 секунд,-,-
121,Ментальный пассажир,Soul Rider,Обычное; Сопротивляется по Воле(Will),"Заклинатель может видеть глазами объекта, слышать его ушами и т.д, пока концентрируется. (Заклинатель не теряет контроль над своим собственным телом и может действовать нормально). Заклинатель не получает контроля над объектом и не знает его мысли. Объект должен быть разумным (ИН(IQ) 6 или выше). Умение получает -2 если объект принадлежит другой расе; если объект полностью чужд, то -4 или более!","5 сотворение, 2 поддержание",-,3 секунды,1 минута,-
122,Контроль персоны,Control Person,Обычное; Сопротивляется по Воле(Will),"Использует все чувства жертвы и контролирует все ее физические действия (заклинатель не получает доступ к памяти жертвы, её умениям, заклинаниям и т.п.). Объект сохраняет свою память и разум, и осознает что с ним происходит - его личность не заменяется личностью заклинателя. Заклинатель может «двигать» только одно тело в каждый момент времени и должен концентрироваться для этого. Во время концентрации его собственное тело становиться безвольным; как только он прекращает концентрироваться, объект возвращает себе контроль над своим телом. Заклинатель может свободно перемещаться между телами пока заклинание не закончится.",6 сотворение. 4 поддержание,Ментальный пассажир или Отправка мыслей,10 секунд,1 минута,-
123,Вселение,Possession,Обычное; Сопротивляется по Воле(Will),"Как Контроль персоны, но жертва находиться без сознания во время «вселения» и заклинатель имеет полный доступ к памяти умениям и заклинаниям объекта. Во время пребывания в теле, заклинатель сохраняет все свои умения и заклинания а так же может использовать все умения заклинания и воспоминания объекта, как будто они его собственные (физические умения объекта используются с -1). Собственное тело заклинателя лежит без сознания во время заклинания и должно охраняться.",10 сотворение. 4 поддержание,Контроль персоны или Вселение в зверя,1 минута,1 минута,-
124,Постоянное вселение,Permanent Possession,Обычное; Сопротивляется по Воле(Will),"Как Вселение, но заклинатель остается в теле объекта пока не захочет его покинуть или будет изгнан заклинанием Отменить вселение или Снять проклятие. На собственное тело заклинателя накладывается эффект Приостановленной жизни до тех пор, пока заклинание не закончится. Если тело заклинателя умрет, заклинание рассеивается. Когда тело объекта получает вред, заклинатель должен сделать бросок против своего ЗД(HT) или получить такой же вред. Если тело объекта умирает, заклинатель должен сделать бросок своего ЗД(HT) или тоже умереть!",30,Вселение,5 минут,Не ограничено (может быть постоянно),-
126,Обмен телами,Exchange Bodies,Обычное; Сопротивляется по Воле(Will),"Заклинатель навсегда меняется телами с объектом. Объектом может быть любое живое существо. Есть только один способ отменить эффект этого заклинания - сотворить его снова; Отменить вселение и остальная анти-магия работать не будет. Значения СЛ(ST), ЛВ(DX) и ЗД(HT), как и все физические преимущества и недостатки, остаются с телом. ИН(IQ), память, личность и все умения и заклинания переносятся с разумом.  Заметьте: Обмен телам может привести к тому, что заклинатель увеличит свою очковую стоимость. Мастер может потребовать от старого мага оплатить эту разницу. Более детально см. Перемещение сознания. Для контроля меняющих тела магов Мастер может требовать редких ингредиентов для этого заклинания.",120,Постоянное вселение и Сосуд души,1 час,Постоянно,-
127,Узнать время,Tell Time,Информационное,"Сообщает заклинателю сколько времени – а также день и год, если в этом будут сомнения.",-,-,1,-,"Украшение, позволяет носителю узнать точное время, когда он захочет. Энергостоимость создания: 250."
128,Будильник,Alarm,Обычное,"Предупреждает объект в указанное время в будущем, пробуждая его, если необходимо. Также делает напоминание (по сути, доставляя сообщение), при условии, что оно было указано при сотворении. Может быть настроено на «срабатывание» в пределах недели от времени сотворения.",Узнать время,-,1,1 неделя,"Украшение. Будет гудеть или вибрировать каждый день в одно и то же время, установленное создателем. Энергостоимость создания: 60."
130,Обнаружение магии,Detect Magic,Обычное,"Дает заклинателю возможность определить магический объект или нет. При успешном сотворении - следующее сотвоерние даст информацию о том, постоянна это магия или временна. Критический успех на любой при этих бросков даст полную идентификацию заклинания, как при `анализе магии` (Analyze Magic).",-,5,2,-,"Посох, палочка или украшение. Используемо только магами. 100 энергии (b) Кольцо или ожерелье (ошейник); всегда ``включено``. Вибрирует, предупреждая носителя о том, что на расстоянии 5 ярдов от него есть магический предмет. Заклинание `ограничение` (Limit) часто используется для того чтобы заставить объект определять только конкретные типы магии. 300 энергии"
131,Волшебное зрение,Mage Sight,Информационное,"Обнаруживает все магические предметы в поле зрения. Каждый такой предмет будет иметь свечение или «ауру», похожую на ауру живого существа. Это свечение будет видно сквозь одежду, броню и вплоть до 1/2 дюйма твёрдого материала.  Аура навсегда зачарованного предмета будет сильнее, чем у чего-то под действием временного заклинания. Зачарованные (или магические) существа тоже светятся, хотя сами маги – нет, если на них нет в данный момент заклинаний. Аура также может дать ключ к пониманию природы предмета. При хорошем броске, например, заклинания огня будут иметь характерное красное свечение, а злые предметы будут показывать некое «чёрное свечение» в своих аурах. Критический успех на этом заклинании позволяет заклинателю полностью опознать каждый магический предмет, который он видит.",Обнаружение магии,-,"3 сотворение, 2 поддержание",1 минута,"Посох, жезл или украшение. Энергостоимость создания: 800"
133,Запомнить,Memorize,Обычное,"Всё, что заклинатель воспринимает во время сотворения (и ещё 10 секунд после этого) идеально впечатывается в память, как если бы у него была Фотографическая память. Заклинание можно использовать, чтобы запоминать карты, лица, события, и т.д. Оно не может быть использовано, чтобы выучить умения или сохранить временные магические эффекты.",-,2 секунды,3 сотворение. Не поддерживается,"1 день. После этого, проверяйте ИН(IQ) каждый день, с накопительным штрафом -1 за день. При критическом успехе, память остаётся навсегда; при обычном - всё ещё вспоминается. При провале память тает до нормального уровня памяти о данном событии; при критическом провале, создаётся фальшивая память(которая тоже может со временем исчезнуть).","а) Украшение или головной убор. Энергостоимость создания: 1.000 (б) Любой. Действует всегда; носитель может вспомнить одну вещь, указанную создателем. Память тает полностью спустя час после того, как предмет снят. Энергостоимость создания: 400 (с) Память может быть сделана постоянной за 50 единиц энергии, но должна сохраняться всё время, пока происходит зачарование."
134,История,History,Информационное,"Будучи сотворённым на любой неодушевлённый предмет (или на его часть радиусом в 1 ярд), позволяет заклинателю определить недавнее прошлое этого предмета, характер пользователя, и так далее – но никаких имён!",-,5 за неделю,3 за вчерашнюю историю,8 за месяц,10 за год
135,Перемещение,Apportation,Обычное; сопротивление по Воле(Will),"Позволяет двигать материальные объекты, не прикасаясь к ним. Это заклинание левитирует объект с Движением 1 — недостаточно быстро, чтобы нанести вред. Живые объекты могут сопротивляться Волей (Will).   Вес Энергостоимость менее 1 фунта 1 до 10 фунтов 2 до 50 фунтов 3 до 200 фунтов 4 каждые дополнительные 100 фунтов 4",-,Зависит от веса объекта. Столько же поддержание.,-,-,1 минута
136,Волшебный глаз,Wizard Eye,Обычное,"Создаёт физический глаз – двухдюймовый шарик – через который заклинатель может видеть. Глаз может летать в воздухе, вертикально или горизонтально, с Движением 10; он движется в ход заклинателя. Концентрация требуется, чтобы двигать глаз, но не чтобы видеть через него. Глаз маленький, его МР(SM) равен -7, поэтому в него трудно попасть – но если в него попадут физической атакой, или любым заклинанием, которое могло бы вывести его из строя, он будет уничтожен.  Можно также создать невидимый глаз. Любой, кто угадает, где он находится, всё ещё может атаковать, но с -7 за МР(SM) в сочетании со штрафом -6 за невидимость приводит к тому, что по нему крайне трудно попасть.",Перемещение,2 секунды Вдвое больше за невидимый глаз,3 сотворение. 1 поддержка Невидимый глаз: 5 сотворение. 3 поддержка,1 минута,"Глазное яблоко, вырезанное из слоновой кости с врезанными драгоценными камнями. Используется только магами. По команде держателя, оно превратится в Волшебный глаз; по возвращению в его руку оно вновь примет форму драгоценности. Стоимость создания: 1.100 энергии, $1000 за умелую резьбу по слоновой кости и $600 за изумруды."
137,Получение Информации,Информационное Obtaining,Информационное,"Предоставляет заклинателю короткую предысторию о субъекте (существе, предмете или местности). Может вызвать видение, дать примерное описание, выяснить происхождение субъекта и пр. Более успешный бросок позволить узнать больше необходимой информации.",История,-,3,-,"Корона, шлем или другой головной убор. 800 энергии"
138,Поиск,Seeker,Информационное,"Настраивает заклинателя на искомую персону или искусственный объект. Полезно при поиске пропавших вещей. Успешный бросок дает заклинателю видение приблизительного местонахождения, или ведет его к цели если она находиться в приделах мили. Модификаторы: Стандартные модификаторы дальних дистанций (стр. 151). Что либо связанное с искомым объектом (допустим часть одежды искомого человека) должно иметься при сотворении заклинания; если такового не имеется -5 к умению. +1 если заклинатель держал в руках или каким либо другим образом знаком с объектом.","IQ 12+ и как минимум два `поисковых` заклинания (т.е. Seek Earth, Seek Water) или IQ 12+ и Получение Информации",-,3. Одна попытка в неделю,-,"Раздвоенная палка (дерево, кость, клык) или стрелка компаса (вырезанная из слоновой кости) которая всегда будет показывать на один конкретный объект, выбранный при создании. Что-то относящееся к объекту должно быть использовано при создании предмета и встроено в него. 500 энергии"
139,Убеждение,Persuasion,Обычное; Сопротивление по IQ,Используется для изменения броска реакции. Заклинание делает объект (интеллектуальное создание IQ 8 и выше) более снисходительным.,-,Вдвое больше бонуса к броску реакции,-,-,Шляпа корона шлем или другой головной убор. Должен быть украшен гранатом или аметистом ценой минимум $200. Используется только магами. 1000 энергии.
140,Опознание заклинания,Identify Spell,Информационное,"Позволяет заклинателю узнать какое заклинание или заклинания были сотворены только что (в течении последних пяти минут), или сотворяются в данный момент, объектом или на объект. Не определяет заклинания на зачарованных предметах. Одно сотворение заклинания опознает все заклинания сотворенные объектом, или на объект. Однако, если заклинания совершенно неизвестны заклинателю – не просто не выучены им, а такие, о которых он даже не слышал – мастер должен давать только общее, смутное описание – типа «какая-то физическая защита». Общее правило – заклинатель обычно слышал о всех заклинаниях из этого списка, кроме тех, которые Мастер определил заранее как «секретные». Однако заклинатель не знает о заклинаниях созданных Мастером или игроками.",Обнаружение магии,-,2,-,"Посох, палочка или украшение. Используется только магами. 1100 энергии."
141,Древняя история,Ancient History,Информационное,"Как история, но даёт общее представление о истории предмета за гораздо больший промежуток времени.",История,5 за 10 лет,3 за 1 год истории,8 за 100 лет,10 за 1000 лет
142,Древнейшая история,Prehistory,Информационное,"Это заклинание похоже на Древнюю историю, но даёт ещё менее конкретную информацию за период тысячелетий. Возраст и функция предмета определяются всегда, но если предмет не принимал участия в важных событиях, то это может быть единственной доступной информацией. К счастью, этого часто достаточно для магов-археологов, которые чаще всего используют Древнейшую историю.",Древняя история,5 за 10.000 лет,3 за 1.000 лет истории,8 за 100.000 лет,10 за большие промежутки времени
144,Распознать иллюзию,Know Illusion,Информационное,"Сообщает заклинателю является объект иллюзией, или настоящим, или созданием. Заклинатель должен видеть объект.",-,-,-,-,-
145,Чтение мыслей,Mind-Reading,Обычное; Сопротивление по IQ,"Позволяет заклинателю читать мысли объекта. Срабатывает на любое живое существо, но особо эффективно на интеллектуальных созданий. Вскрывает только поверхностные мысли (о чем объект думе в данный момент). Объект не знает, что его мысли читают, за исключением критически проваленного броска. Модификаторы: -2 если заклинатель не знает родного языка объекта; -2 если объект другой расы; -4 или больше, если объект совершенно чужероден для заклинателя.",Говорящий правду (Thrusayer),10 секунд,"4 на сотворение, 2 на поддержание",1 минута,-
146,Слежка,Trace,Обычное,"Может быть сотворено на любую личность, животное или предмет. Пока заклинание поддерживается - заклинатель, концентрируясь в течении секунды узнает где находиться объект. Объект должен находиться рядом с заклинателем в момент сотворения заклинания, или сначала должен быть успешно применен Поиск (Seeker), игнорируя ограничение в неделю. Если объект вне досягаемости заклинателя используйте модификаторы дальних дистанций.",Поиск,1 минута,"3 на сотворение, 1 на поддержание",1 час Одна попытка в день,"Корона, шлем или другой головной убор. Используется только магами. 1000 энергии"
147,Анализ Магии,Analyze Magic,Информационное; Зашита заклинаниями скрывающими магию,"Дает заклинателю знать, какие заклинания есть на объекте. Если на объекте более одного заклинания, «анализ магии» определит самое малоэнергетическое, и сообщит заклинателю о том, что на объекте есть еще заклинания. Его можно сотворить заново, для анализа следующего заклинания и т.д.  Как и при опознании заклинания (предыдущее заклинание), оно дает ограниченную информацию о заклинаниях совершенно неизвестных заклинателю.",Опознание заклинания,1 час,8,-,-
149,Отправка мыслей,Mind-Sending,Обычное,"Одностороннее средство коммуникации, позволяет заклинателю посылать свои мысли объекту. Передача происходит со скоростью сравнимой со скоростью обычной речи, однако также можно передать простые изображения (время на передачу похоже на время рисования этой картинки на бумаге или пергаменте).  При подсчете модификатора за расстояние используйте модификаторы Дальних дистанций. Незнакомство с объектом даёт штраф -4.",Чтение мыслей,4 секунды,4,1 минута,"Шапка, корона, шлем или другой головной убор. Используется только магами. Энегостоимость создания: 1.500"
150,Регресс,Retrogression,Обычное; Сопротивление по Воле(Will),"Заставляет объект пережить событие из его прошлой жизни (или жизней!). Оно может быть как мучительным так и приятным.  Разные типы памяти дают разный эффект. Ужасное воспоминание требует бросок страха с -3 или более; память о насильственной смерти объекта (в кампании, где возможно Воскрешение), требует бросок страха с -5. Память о ране или болезни требует бросок ЗД(HT)-3 — провал приносит одно очко вреда. Память о рабстве или унижении дает -1 к Воле(Will), если провален бросок Воля(Will)-3. Память о личном триумфе и могуществе дает 1 к Воле(Will), если успешен бросок ИН(IQ). Мастер судит о эффектах других типов памяти.  Заклинатель указывает только тип события для вызова; он не может «досматривать» память объекта с помощью данного заклинания.  Если не оглушен, объект должен бросить Чувство тела для того, чтобы действовать нормально в ход после заклинания.",Mind-Sending,10 секунд,5. Не может быть поддержано. Одна попытка в день,-,"Для вызова памяти необходима одна секунда (хотя объекту может показаться, что прошло гораздо больше времени)"
151,Взгляд в будущее,Future Sight,Информационное,"Заклинатель может видеть события из своего недалекого будущего.  После сотворения заклинания, мастер описывает события, происходящее в будущем с учетом принятых решений игроками; или вы можете продолжить играть (заданное заклинанием время), а заклинатель может в любой момент или по истечению действия заклинания продолжить игру или вернуться к любому моменту во время действия заклинания и “продолжить” оттуда, что-то поменяв.",Получение информации (Информационное Obtaining),2 секунды за каждые 10 секунд происходящего,3 за 10 секунд происходящего,мгновенно,"Корона, шлем или другой головной убор. Используется только магами. 2000 энергии"
153,Слабое место,Find Weakness,Информационное,"Позволяет заклинателю почувствовать самую хрупкую точку на объекте. Может быть сотворено на часть крупного объекта; не обязательно сотворять его на всю городскую стену, можно проверять по одному метру стены за раз. Конечно же, большинство объектов вообще не имеют особо уязвимых мест.",-,2 секунды,1 за клетку (минимум 1). Цена удваивается если объект живой.,-,Украшение. Работает только для носителя. 100 энергии.
154,Ослабление,Weaken,Обычное,"Наносит 1d повреждений слабейшей части объекта (работает только на неодушевленные предметы). О прочности различных материалов см. стр. 125. Заклинатель не может использовать это заклинание на один предмет чаще, чем раз в час. DR не защищает объект.",Слабое место,5 секунд,2,Навсегда,"Посох, палочка или перчатки. Работает только для носителя. Используется при ударе по объекту. 200 энергии"
155,Восстановление,Restore,Обычное,Сломаный объект временно начинает выглядит как новый. Другие органы чувств и «маг-зрение» (Mage Sight) этим заклинанием не проведешь.,Weaken либо Simple Illusion,половина на поддержание,2 за клетку размера объекта,Очень маленькие объекты все равно стоят 2 энергии,3 секунды
156,Разрушение,Shatter (VH),Обычное,"Похоже на «ослабление» (Weaken), но быстрее – сотворяется за ход, а повторять можно немедленно. Наносит до 3d повреждений. Но если заклинание не нанесло достаточно для уничтожения объекта повреждений – оно не оставляет никого ущерба. Объектом может быть только неодушевленный предмет.",Ослабление,-,"от 1 до 3. 1d повреждений за каждую единицу энергии, вложенную в заклинание",Навсегда,"Посох, палочка или перчатки. Работает только для носителя. Используется при ударе по объекту. 500 энергии"
157,Собрать,Rejoin,Обычное,"Временно чинит сломаные неодушевленные предметы. Если некоторые маленькие части утеряны – штраф к уровню заклинания –3, но если все же сотворено успешно – объект соберется без не хватающих частей.","Weaken, Restore",половина (округленно вверх) на поддержание,1 за каждые 10 фунтов веса объекта (минимальная стоимость 2),4 секунды за каждые 10 фунтов веса объекта,10 минут
158,Починка,Repair,Обычное,"Восстанавливает сломаный, неодушевленный объект. Если какие-то мелкие части утеряны: -5 к уровню заклинания, и подходящий материал для создания этой части заново (к примеру, для починки золотой филигранной работы необходим кусок золота). Если заклинание сотворено успешно, утерянные части будут заменены новыми. Сломаный магический предмет не восстановит чары после «починки» (зато можно восстанавливать запас прочности магических вещей).",Собрать,1 секунда за каждый фунт веса (минимум 10 секунд),3 за каждые 10 фунтов веса объекта (минимальная стоимость 6),Навсегда,"Посох, палочка или перчатки. Работает только для носителя. Используется при касании к объекту. 750 энергии"
159,Страх,Fear,Областное; Защита по IQ-1,"Объект(ы) испытывает страх. Проваливший бросок защиты должен перекинуть бросок реакции (reaction check) с –3 или +3; Мастер решает даст ли страх «лучшую» или «худшую» реакцию. Враг может сдаться, или выполнить неистовую атаку; торговец может действовать запугано или потребовать чтобы вы убирались прочь. Так что результат достаточно хаотичный! Объект защитившийся от заклинания разозлиться.  Игровой персонаж под действием данного заклинания, вместо броска реакции, должен сделать бросок страха (Fright Check) с –3.",-,-,1 Не поддерживается,10 минут если не остановлено раньше с помощью «храбрости» (Bravery),(a) Любой предмет. Всегда «включен»
161,Звук,Sound,Обычное,"Производит какой-либо бессмысленно звук по желанию заклинателя – гул насекомых, далекий лепет голосов, звук падения, или что-то подобное. Заклинание не может произвести громкий шум. После сотворения заклинания Концентрация не требуется.",-,-,"1 для создания 5-секундного звука; 2 для создания звука, длящегося минуту; 1 за поддержание ещё минуту","1 для создания 5-секундного звука; 2 для создания звука, длящегося минуту; 1 за поддержание ещё минуту",Любой. Шумит постоянно (хотя для его включения и выключения часто используют Связь) Энергостоимость создания: 50
162,Оцепенение,Daze,Обычное; Защита по HT,"Объект выглядит и действует как обычно, но не замечает того что происходит вокруг, или не может вспомнить этого в последствии. Охранник по действием данного заклинания будет спокойно стоять пока вор проходит мимо него! Любая физическая атаки или успешная защита от заклинания сбрасывают с жертвы оцепление и возвращают ее в состояние полного внимания.",-,-,"3 на сотворение, 2 на поддержание",1 минута,-
165,Глупость,Foolishness,Обычное; Защита по IQ,Временно понижает IQ объекта. Вместе с этим понижаются все умения и заклинания базирующиеся на IQ. Мастер может также требовать бросок по IQ при попытке вспомнить сложные события происходившие в момент действия данного заклинания.,IQ 12+,-,1 за каждое очко понижения IQ (максимум 5); половина этого (округлено вверх) на поддержание,-,-
